id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
pcg_766,Venituri din dobânzi,766,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_income_interest,False
pcg_767,Venituri din sconturi obținute,767,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_incomes,False
pcg_768,Alte venituri financiare,768,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_incomes,False
pcg_7812,Venituri din provizioane,7812,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_expenses,False
pcg_7813,Venituri din ajustări pentru deprecierea imobilizărilor,7813,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_value_adjust_assets,False
pcg_7814,Venituri din ajustări pentru deprecierea activelor circulante,7814,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_value_adjust_assets,False
pcg_7815,Venituri din fondul comercial negativ,7815,account.data_account_type_revenue,l10n_ro.ro_chart_template,,False
pcg_7863,Venituri financiare din ajustări pentru pierderea de valoare a imobilizărilor financiare,7863,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_incomes,False
pcg_7864,Venituri financiare din ajustări pentru pierderea de valoare a activelor circulante,7864,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_incomes,False
pcg_7865,Venituri financiare din amortizarea diferențelor aferente titlurilor de stat,7865,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_incomes,False
pcg_8011,Giruri și garanții acordate,8011,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_8018,Alte angajamente acordate,8018,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_8021,Giruri și garanții primite,8021,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_8028,Alte angajamente primite,8028,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_8031,Imobilizări corporale luate cu chirie,8031,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_8032,Valori materiale primite spre prelucrare sau reparare,8032,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_8033,Valori materiale primite în păstrare sau custodie,8033,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_8034,"Debitori scoși din activ, urmăriți în continuare",8034,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_8035,Stocuri de natura obiectelor de inventar date în folosință,8035,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_8036,"Redevențe, locații de gestiune, chirii și alte datorii asimilate",8036,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_8037,Efecte scontate neajunse la scadență,8037,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_8038,"Bunuri primite în administrare, concesiune și cu chirie",8038,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_8039,Alte valori în afara bilanțului,8039,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_804,Certificate verzi,804,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_8051,Dobânzi de plătit,8051,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_8052,Dobânzi de încasat,8052,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_806,Certificate de emisii de gaze cu efect de seră,806,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_807,Active contingente,807,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_808,Datorii contingente,808,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_809,Creanțe preluate prin cesionare,809,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_891,Bilanț de deschidere,891,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_892,Bilanț de închidere,892,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_901,Decontări interne privind cheltuielile,901,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_902,Decontări interne privind producția obținută,902,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_903,Decontări interne privind diferențele de preț,903,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
pcg_921,Cheltuielile activității de bază,921,account.data_account_off_sheet,l10n_ro.ro_chart_template,,False
